Deutschland,,Früheres Bundesgebiet,,Neue Länder und Berlin-Ost,
2015,82176,2015,66057,2015,16118
2014,81198,2014,65223,2014,15974
2013,80767,2013,64848,2013,15919
2012,80524,2012,64619,2012,15905
2011,80328,2011,64429,2011,15899
2010,81752,2010,65426,2010,16326
2009,81802,2009,65422,2009,16380
2008,82002,2008,65541,2008,16461
2007,82218,2007,65664,2007,16554
2006,82315,2006,65667,2006,16648
2005,82438,2005,65698,2005,16740
2004,82501,2004,65680,2004,16821
2003,82532,2003,65619,2003,16913
2002,82537,2002,65527,2002,17009
2001,82440,2001,65323,2001,17118
2000,82260,2000,67140,2000,15120
1999,82163,1999,66946,1999,15217
1998,82037,1998,66747,1998,15290
1997,82057,1997,66688,1997,15369
1996,82012,1996,66583,1996,15429
1995,81817,1995,66342,1995,15476
1994,81539,1994,66007,1994,15531
1993,81338,1993,65740,1993,15598
1992,80975,1992,65289,1992,15685
1991,80275,1991,64485,1991,15790
1990,79753,1990,63726,1990,16028
